Item Name,Description,Mfg Part #,Category,Rate,Item Type
HB19C,Main Control Wiring and Terminal Renovation\CRVoltage protection system\CRUpgrade to tube shielding for control wiring\CRPerformance and safety testing\CR,,Services,1560,Non Inventory
HB19D,Complete Control Wiring and Terminal Renovation\CRVoltage protection system\CRUpgrade to tube shielding for control wiring\CRRestore system to prime cond,,Services,1950,Non Inventory
HB19E,Complete Control Wiring and Terminal Renovation\CRVoltage protection system\CRUpgrade to tube shielding for control wiring\CRRestore system to prime cond,,Services,2340,Non Inventory
HB1A,,,Services,325,Non Inventory
HB1B,,,Services,475,Non Inventory
HB1C,,,Services,626,Non Inventory
HB1D,,,Services,775,Non Inventory
HB1E,,,Services,925,Non Inventory
HB20A,Control Wiring and Terminal Rejuvenation\CRPerformance and safety testing\CR30 day warranty,,Services,893,Non Inventory
HB20B,Basic Control Wiring and Terminal Renovation \CRPerformance and safety testing\CR6 month warranty,,Services,1339,Non Inventory
HB20C,Main Control Wiring and Terminal Renovation\CRVoltage protection system\CRUpgrade to tube shielding for control wiring\CRPerformance and safety testing\CR,,Services,1785,Non Inventory
HB20D,Complete Control Wiring and Terminal Renovation\CRVoltage protection system\CRUpgrade to tube shielding for control wiring\CRRestore system to prime cond,,Services,2232,Non Inventory
HB20E,Complete Control Wiring and Terminal Renovation\CRVoltage protection system\CRUpgrade to tube shielding for control wiring\CRRestore system to prime cond,,Services,2678,Non Inventory
HB21A,Power Protection System Rejuvenation \CRPerformance and safety testing\CR30 day warranty,,Services,828,Non Inventory
HB21B,Basic Power Protection System Renovation\CRRejuvenate electrical control system\CRPerformance and safety testing\CR6 month warranty,,Services,1242,Non Inventory
HB21C,Main Power Protection System Renovation\CRRejuvenate electrical control systems\CRElectrical terminal and safety service\CRVoltage protection system reno,,Services,1655,Non Inventory
HB21D,Complete Power Protection System Renovation\CRRejuvenate electrical control systems\CRElectrical terminal and safety service\CRPerformance enhancement sy,,Services,2069,Non Inventory
HB21E,Complete Power Protection System Renovation\CRRejuvenate electrical control systems\CRElectrical terminal and safety service\CRPerformance enhancement sy,,Services,2483,Non Inventory
HB2A,,,Services,400,Non Inventory
HB2B,,,Services,550,Non Inventory
HB2C,,,Services,700,Non Inventory
HB2D,Complete Electrical Connection System Renovation\CRComplete voltage distribution system renovation\CRRejuvenate electrical control system\CRUpgrade to vo,,Services,839,Non Inventory
HB2E,Complete voltage distribution system renovation\CRRejuvenate electrical control system\CRUpgrade to voltage protection system\CRRestore control wiring to,,Services,1007,Non Inventory
HB3A,,,Services,337,Non Inventory
HB3B,,,Services,457,Non Inventory
HB3C,,,Services,667,Non Inventory
HB3D,Complete Electrical Safety Circuit Renovation\CRElectrical termination point safety service\CRComponent surge protection system\CRPerformance and safety,,Services,676,Non Inventory
HB3E,Complete Electrical Safety Circuit Renovation\CRElectrical termination point safety service\CRComponent surge protection system\CRPerformance and safety,,Services,812,Non Inventory
HB4A,Electrical Safety Circuit Rejuvenation\CRPerformance and safety testing\CR30 day warranty,,Services,462,Non Inventory
HB4B,Basic Electrical Safety Circuit Renovation\CRElectrical safety service\CRPerformance and safety testing\CR6 month warranty,,Services,692,Non Inventory
HB4C,,,Services,749,Non Inventory
HB4D,Complete Electrical Safety Circuit Renovation\CRElectrical termination point safety service\CRComponent surge protection system\CRPerformance and safety,,Services,1154,Non Inventory
